white predicted elo, white actual elo, black predicted elo, black actual elo
1295.827602520977, 944.0, 1178.2052060769943, 938.0
2632.40080906542, 2854.0, 2621.277786442772, 2751.0
944.8790106907323, 663.0, 891.7996527074719, 781.0
1274.007505209982, 1418.0, 1213.1868795498915, 1455.0
804.1274531129241, 977.0, 863.1402344634284, 1003.0
2080.151492751442, 2064.0, 2019.3129758352227, 2079.0
2143.4589437458258, 2409.0, 2033.3012194825565, 2367.0
2646.0098886276373, 2648.0, 2649.747285250533, 2857.0
2555.969477670281, 2412.0, 2443.576297396498, 2546.0
1183.9903021084162, 848.0, 1142.783179683459, 689.0
2508.049280898007, 2336.0, 2499.3254927090925, 2375.0
2763.212520086111, 2920.0, 2743.1982147985914, 2936.0
2648.7863988964723, 2655.0, 2658.8401416708193, 2517.0
575.7628779073332, 569.0, 652.514918593292, 585.0
1359.5399313895086, 1322.0, 1391.9654911517287, 1320.0
900.5967345268231, 852.0, 841.3675636458802, 928.0
2246.7929441570172, 2407.0, 2204.773443900096, 2377.0
1961.641132545167, 1438.0, 1929.949416961155, 1526.0
2449.3957755500505, 2282.0, 2449.1957911054715, 2283.0
2630.926945206577, 2441.0, 2627.295117291917, 2432.0
713.1645766459269, 546.0, 764.0154891341557, 529.0
1288.5260448457448, 1237.0, 1339.4112352640761, 1061.0
2495.324895533289, 2553.0, 2583.7042723067993, 2611.0
2463.3883921205675, 2372.0, 2404.123822384615, 2361.0
1443.6074625235824, 1560.0, 1423.8143742218092, 1569.0
763.7906036710691, 690.0, 792.5359118620314, 643.0
2459.171356299017, 2574.0, 2383.676377696178, 2466.0
1489.386540457622, 1830.0, 1558.221236039814, 1843.0
1926.802228552276, 1987.0, 1966.575250223604, 1973.0
2572.959253194924, 2324.0, 2436.977789537083, 2319.0
782.3525499455196, 841.0, 736.3814598680785, 863.0
1939.1087258416176, 1752.0, 1814.3336090742655, 1711.0
918.5660879813373, 502.0, 784.0136982882915, 430.0
1059.804871382892, 1158.0, 1110.208596665058, 1215.0
851.3647871370283, 726.0, 876.0555302453542, 841.0
2388.1897144235695, 2723.0, 2503.9477440882274, 2572.0
2429.061552732298, 2223.0, 2372.7827960405116, 2087.0
2160.5659255908863, 2276.0, 2093.2786557370405, 2429.0
2906.0222233917493, 2815.0, 2773.8523795609253, 2660.0
2618.1711614061473, 2747.0, 2626.053369910526, 2774.0
1775.9488194467783, 1755.0, 1859.5934717022049, 1633.0
737.6386117323557, 1061.0, 891.1559220464244, 1074.0
1442.0248086494867, 1437.0, 1540.8960267460009, 1342.0
914.8869994808912, 798.0, 933.0562552179689, 655.0
1146.2282368512188, 999.0, 1099.2156187021776, 1010.0
2704.3689601405777, 2933.0, 2732.9082992959593, 2922.0
1244.8550171943336, 840.0, 1227.1690262827365, 907.0
